date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:20:33	8806/8806	---M-Z	200	added ('OK')	text/html	etag:%22e5a703bb499bcd3f9f4cce6ff87b64c2%22	https://www.fooish.com/jquery/	C:/Users/RD/Desktop/jquery/www.fooish.com/jquery/index.html	(from )
08:20:33	79/79	---M-Z	200	added ('OK')	text/plain	etag:%22e56790cc0391fac75b05599f2a4d95d7%22	https://www.fooish.com/robots.txt		(from )
08:20:33	2170/2170	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Nov%202017%2000:32:23%20GMT	http://cdnjs.cloudflare.com/ajax/libs/normalize/4.1.1/normalize.min.css	C:/Users/RD/Desktop/jquery/cdnjs.cloudflare.com/ajax/libs/normalize/4.1.1/normalize.min.css	(from https://www.fooish.com/jquery/)
08:20:33	872/872	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Nov%202017%2000:29:43%20GMT	http://cdnjs.cloudflare.com/ajax/libs/highlight.js/9.12.0/styles/github.min.css	C:/Users/RD/Desktop/jquery/cdnjs.cloudflare.com/ajax/libs/highlight.js/9.12.0/styles/github.min.css	(from https://www.fooish.com/jquery/)
08:20:33	4803/4803	---M-Z	200	added ('OK')	text/css	etag:%22f8aa2ac907584c552b515244f35524c5%22	https://www.fooish.com/assets/css/base-305d0c54fd.css	C:/Users/RD/Desktop/jquery/www.fooish.com/assets/css/base-305d0c54fd.css	(from https://www.fooish.com/jquery/)
08:20:39	46003/46003	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd491e-b3b3%22	http://cdnjs.cloudflare.com/ajax/libs/highlight.js/9.12.0/highlight.min.js	C:/Users/RD/Desktop/jquery/cdnjs.cloudflare.com/ajax/libs/highlight.js/9.12.0/highlight.min.js	(from https://www.fooish.com/jquery/)
08:20:40	3360/3360	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2014%20Nov%202017%2000:30:23%20GMT	http://cdnjs.cloudflare.com/ajax/libs/jquery.sticky/1.0.3/jquery.sticky.min.js	C:/Users/RD/Desktop/jquery/cdnjs.cloudflare.com/ajax/libs/jquery.sticky/1.0.3/jquery.sticky.min.js	(from https://www.fooish.com/jquery/)
08:20:40	71419/71419	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2014%20Nov%202017%2000:30:35%20GMT	http://cdnjs.cloudflare.com/ajax/libs/lodash.js/4.17.4/lodash.min.js	C:/Users/RD/Desktop/jquery/cdnjs.cloudflare.com/ajax/libs/lodash.js/4.17.4/lodash.min.js	(from https://www.fooish.com/jquery/)
08:20:40	8519/8519	---M-Z	200	added ('OK')	text/html	etag:%22e99f73bb20d7f146c0745b88a52af527%22	https://www.fooish.com/jquery/basics.html	C:/Users/RD/Desktop/jquery/www.fooish.com/jquery/basics.html	(from https://www.fooish.com/jquery/)
08:20:41	11002/11002	---M-Z	200	added ('OK')	text/html	etag:%22baacf47f486f7cf3094f782c7e8712e1%22	https://www.fooish.com/jquery/selectors.html	C:/Users/RD/Desktop/jquery/www.fooish.com/jquery/selectors.html	(from https://www.fooish.com/jquery/)
08:20:41	12952/12952	---M-Z	200	added ('OK')	text/html	etag:%22ead3998215248d501ac1876aa6df8b4f%22	https://www.fooish.com/jquery/attributes-and-css.html	C:/Users/RD/Desktop/jquery/www.fooish.com/jquery/attributes-and-css.html	(from https://www.fooish.com/jquery/)
08:20:42	10327/10327	---M-Z	200	added ('OK')	text/html	etag:%2231c0e4f24526a81765457a4227c837bb%22	https://www.fooish.com/jquery/traversing.html	C:/Users/RD/Desktop/jquery/www.fooish.com/jquery/traversing.html	(from https://www.fooish.com/jquery/)
08:20:42	14854/14854	---M-Z	200	added ('OK')	text/html	etag:%22dd2d13e66c231ab8ec93b77105b0f391%22	https://www.fooish.com/jquery/dom-manipulation.html	C:/Users/RD/Desktop/jquery/www.fooish.com/jquery/dom-manipulation.html	(from https://www.fooish.com/jquery/)
08:20:43	17685/17685	---M-Z	200	added ('OK')	text/html	etag:%222f4c15e7c1ccc2a3b3f17eaaa26f09fc%22	https://www.fooish.com/jquery/events.html	C:/Users/RD/Desktop/jquery/www.fooish.com/jquery/events.html	(from https://www.fooish.com/jquery/)
08:20:43	12438/12438	---M-Z	200	added ('OK')	text/html	etag:%22d7e5c03d253874c9153f024fd566ea41%22	https://www.fooish.com/jquery/effects.html	C:/Users/RD/Desktop/jquery/www.fooish.com/jquery/effects.html	(from https://www.fooish.com/jquery/)
08:20:43	19189/19189	---M-Z	200	added ('OK')	text/html	etag:%225e3a4951bfdec87b69941ba9e8854636%22	https://www.fooish.com/jquery/ajax.html	C:/Users/RD/Desktop/jquery/www.fooish.com/jquery/ajax.html	(from https://www.fooish.com/jquery/)
08:20:44	8385/8385	---M-Z	200	added ('OK')	text/html	etag:%220d7b42fb31330119f86ac8c9a3148c73%22	https://www.fooish.com/jquery/data.html	C:/Users/RD/Desktop/jquery/www.fooish.com/jquery/data.html	(from https://www.fooish.com/jquery/)
08:20:44	11518/11518	---M-Z	200	added ('OK')	text/html	etag:%226ab585db6cdf4366a56ad44fa8b9b27c%22	https://www.fooish.com/jquery/deferred.html	C:/Users/RD/Desktop/jquery/www.fooish.com/jquery/deferred.html	(from https://www.fooish.com/jquery/)
08:20:45	1538/1538	---M-Z	200	added ('OK')	text/javascript	etag:%223a443a2de897a5ba7afa05ea7b3fdf8a%22	https://www.fooish.com/assets/js/base-03c70f4725.js	C:/Users/RD/Desktop/jquery/www.fooish.com/assets/js/base-03c70f4725.js	(from https://www.fooish.com/jquery/)
08:20:50	97163/97163	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/Users/RD/Desktop/jquery/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://www.fooish.com/jquery/)
08:20:52	43233/43233	---MC-	200	added ('OK')	text/javascript	date:Thu,%2011%20Oct%202018%2019:41:26%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/RD/Desktop/jquery/www.google-analytics.com/analytics.js	(from https://www.fooish.com/jquery/)
08:20:54	76200/76200	---MC-	200	added ('OK')	text/javascript	date:Wed,%2031%20Oct%202018%2000:20:46%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Users/RD/Desktop/jquery/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.fooish.com/jquery/)
08:20:54	735091/735091	---M-Z	200	added ('OK')	image/jpeg	etag:%221fdae8c46b28a8ba50394b3c97dbd529%22	https://www.fooish.com/assets/img/fooish.jpg	C:/Users/RD/Desktop/jquery/www.fooish.com/assets/img/fooish.jpg	(from https://www.fooish.com/jquery/)
08:20:54	11829/11829	---M-Z	200	added ('OK')	image/png	etag:%226e03dc96dd24492414c5f5a3d2314bca%22	https://www.fooish.com/assets/img/jquery/parent-children-siblings.png	C:/Users/RD/Desktop/jquery/www.fooish.com/assets/img/jquery/parent-children-siblings.png	(from https://www.fooish.com/jquery/traversing.html)
