date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:49:28	769/769	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:29%20GMT	http://www.jeasyui.net/robots.txt		(from )
08:49:28	12762/12762	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:30%20GMT	http://www.jeasyui.net/	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/index.html	(from )
08:49:29	109518/109518	---MCZ	200	added ('OK')	text/css	etag:W/%225518cdfe-1abce%22	http://www.jeasyui.net/Public/index/css/bootstrap.min.css	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/Public/index/css/bootstrap.min.css	(from http://www.jeasyui.net/)
08:49:29	6110/6110	---MCZ	200	added ('OK')	text/css	etag:W/%225b1541fa-17de%22	http://www.jeasyui.net/Public/index/css/style.css	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/Public/index/css/style.css	(from http://www.jeasyui.net/)
08:49:29	817/817	---MCZ	200	added ('OK')	text/css	etag:W/%225518cdfe-331%22	http://www.jeasyui.net/Public/js/google-code-prettify/prettify.css	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/Public/js/google-code-prettify/prettify.css	(from http://www.jeasyui.net/)
08:49:29	4286/4286	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225518cdfe-10be%22	http://www.jeasyui.net/Public/index/img/favicon.ico	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/Public/index/img/favicon.ico	(from http://www.jeasyui.net/)
08:49:30	13794/13794	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:31%20GMT	http://www.jeasyui.net/demo/380.html	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/demo/380.html	(from http://www.jeasyui.net/)
08:49:30	2307/2307	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2025%20Oct%202018%2006:54:49%20GMT	http://1.codezh.com/rmevnnull.js	C:/Users/RD/Desktop/jeasyui/1.codezh.com/rmevnnull.js	(from http://www.jeasyui.net/)
08:49:31	13987/13987	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:32%20GMT	http://www.jeasyui.net/plugins/	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/plugins/index.html	(from http://www.jeasyui.net/)
08:49:31	18507/18507	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:32%20GMT	http://www.jeasyui.net/tutorial/	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/tutorial/index.html	(from http://www.jeasyui.net/)
08:49:31	11277/11277	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:32%20GMT	http://www.jeasyui.net/extension/	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/extension/index.html	(from http://www.jeasyui.net/)
08:49:31	6591/6591	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:33%20GMT	http://www.jeasyui.net/download/	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/download/index.html	(from http://www.jeasyui.net/)
08:49:32	2603/2603	---M--	200	added ('OK')	image/gif	etag:%225518cdfe-a2b%22	http://www.jeasyui.net/Public/index/img/html5.gif	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/Public/index/img/html5.gif	(from http://www.jeasyui.net/)
08:49:32	5298/5298	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:33%20GMT	http://www.jeasyui.net/hongbao/	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/hongbao/index.html	(from http://www.jeasyui.net/)
08:49:32	18507/18507	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:34%20GMT	http://www.jeasyui.net/tutorial/index.html	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/tutorial/index-2.html	(from http://www.jeasyui.net/)
08:49:33	19869/19869	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:34%20GMT	http://www.jeasyui.net/plugins/163.html	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/plugins/163.html	(from http://www.jeasyui.net/)
08:49:33	14792/14792	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:34%20GMT	http://www.jeasyui.net/plugins/164.html	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/plugins/164.html	(from http://www.jeasyui.net/)
08:49:34	14778/14778	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:35%20GMT	http://www.jeasyui.net/plugins/165.html	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/plugins/165.html	(from http://www.jeasyui.net/)
08:49:34	18814/18814	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:35%20GMT	http://www.jeasyui.net/plugins/162.html	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/plugins/162.html	(from http://www.jeasyui.net/)
08:49:34	18655/18655	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:36%20GMT	http://www.jeasyui.net/plugins/161.html	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/plugins/161.html	(from http://www.jeasyui.net/)
08:49:35	24577/24577	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:36%20GMT	http://www.jeasyui.net/plugins/159.html	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/plugins/159.html	(from http://www.jeasyui.net/)
08:49:35	25981/25981	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:36%20GMT	http://www.jeasyui.net/plugins/160.html	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/plugins/160.html	(from http://www.jeasyui.net/)
08:49:36	14770/14770	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:37%20GMT	http://www.jeasyui.net/plugins/157.html	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/plugins/157.html	(from http://www.jeasyui.net/)
08:49:36	15706/15706	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:37%20GMT	http://www.jeasyui.net/plugins/158.html	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/plugins/158.html	(from http://www.jeasyui.net/)
08:49:36	26380/26380	---M--	200	added ('OK')	image/jpeg	etag:%225518cdfe-670c%22	http://www.jeasyui.net/Public/index/img/demos.jpg	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/Public/index/img/demos.jpg	(from http://www.jeasyui.net/)
08:49:36	16213/16213	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:37%20GMT	http://www.jeasyui.net/plugins/156.html	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/plugins/156.html	(from http://www.jeasyui.net/)
08:49:37	14429/14429	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:38%20GMT	http://www.jeasyui.net/plugins/154.html	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/plugins/154.html	(from http://www.jeasyui.net/)
08:49:37	19053/19053	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:38%20GMT	http://www.jeasyui.net/plugins/155.html	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/plugins/155.html	(from http://www.jeasyui.net/)
08:49:37	13964/13964	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:39%20GMT	http://www.jeasyui.net/plugins/153.html	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/plugins/153.html	(from http://www.jeasyui.net/)
08:49:38	13318/13318	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Oct%202018%2000:49:39%20GMT	http://www.jeasyui.net/plugins/151.html	C:/Users/RD/Desktop/jeasyui/www.jeasyui.net/plugins/151.html	(from http://www.jeasyui.net/)
